Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st_Ph_GC,4,Nursing,daytime,2nd_Edu,128.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Administrative staff,Armed Forces Professions,125.2,Yes,No,No,Yes,Male,Yes,18,No,0,7,7,7,14.682857142857143,0,0,8,9,8,15.055555555555555,0,12.4,0.5,1.79,0
Single,>23y.o,1,Informatics_Engin,daytime,degree,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Other Situation,Other Situation,143.4,No,No,No,Yes,Male,No,29,No,0,3,3,0,0.0,3,0,5,0,0,0.0,0,10.8,1.4,1.74,1
Single,>23y.o,1,Informatics_Engin,daytime,Basic_Edu_3rd_Cyc_or_Eq,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",96.7,No,No,No,Yes,Male,Yes,29,No,0,5,6,0,0.0,0,0,5,7,0,0.0,0,12.4,0.5,1.79,1
Single,3rd_Ph_GC,1,Tourism,daytime,2nd_Edu,137.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",126.9,No,No,No,Yes,Male,No,20,No,0,6,7,6,13.857142857142858,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,0
Single,1st_Ph_GC,1,Animation_Multimed_Des,daytime,2nd_Edu,163.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",143.1,No,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0
Single,1st_Ph_GC,1,Tourism,daytime,2nd_Edu,125.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Cleaning workers,193,114.5,No,No,No,Yes,Male,No,20,No,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,8.9,1.4,3.51,0
Married,>23y.o,1,Informatics_Engin,daytime,2nd_Edu,120.0,Portuguese,Unknown,Unknown,Student,Student,140.0,Yes,No,No,Yes,Male,No,33,No,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,1
Single,transfer,1,Mgmt_evening_eve_AA,evening,2nd_Edu,150.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113.7,No,No,No,Yes,Male,No,30,No,11,15,15,13,11.461538461538462,0,6,11,15,10,11.583333333333334,1,16.2,0.3,-0.92,0
Single,1st_Ph_GC,1,Agronomy,daytime,2nd_Edu,148.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Meal preparation assistants,194,143.5,No,No,Yes,Yes,Male,No,18,No,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,0
Single,1st_Ph_GC,1,Nursing,daytime,2nd_Edu,138.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,126.8,No,No,No,Yes,Male,Yes,19,No,0,7,9,7,14.244444444444444,0,0,8,12,8,12.233333333333333,0,15.5,2.8,-4.06,0
Single,2nd_phase_GC,1,Communic_Des,daytime,2nd_Edu,119.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,115.2,No,No,No,Yes,Male,Yes,21,No,0,6,8,4,11.5,0,0,6,7,5,11.0,0,15.5,2.8,-4.06,1
Single,>23y.o,2,Oral_Hygiene,daytime,2nd_Edu,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",100.0,No,No,No,Yes,Male,Yes,25,No,0,7,7,2,10.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,1
Single,1st_Ph_GC,2,Adver_Mktg_Mgmt,daytime,2nd_Edu,135.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,121.4,No,No,No,Yes,Male,No,19,No,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,0
Single,tech_Spc_diploma,1,Communic_Des,daytime,Techno_Spc_Crs,120.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,Intermediate Level Technicians and Professions,120.0,Yes,No,No,Yes,Male,No,23,No,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,1
Single,2nd_phase_GC,2,Communic_Des,daytime,2nd_Edu,126.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Installation and Machine Operators and Assembly Workers,129.9,Yes,No,No,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,1,Animation_Multimed_Des,daytime,2nd_Edu,149.0,Portuguese,Degree,Bachelors_Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",151.1,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0
Single,>23y.o,1,Agronomy,daytime,2nd_Edu,110.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,Yes,No,Male,No,31,No,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,1
Single,>23y.o,1,Agronomy,daytime,2nd_Edu,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.0,No,No,Yes,No,Male,No,32,No,0,6,8,3,13.0,0,4,10,14,6,11.428571428571429,0,16.2,0.3,-0.92,1
Single,1st_Ph_SC_Madeira_Island,2,Nursing,daytime,2nd_Edu,127.0,Portuguese,Bachelors_Degree,Basic_Edu_2nd_Cyc_or_Eq,Administrative staff,Unskilled Workers,119.0,Yes,No,No,Yes,Female,Yes,19,No,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,0
Single,transfer,1,Journalism_Communic,daytime,Freq_of_higher_Edu,120.0,Portuguese,Unknown,Unknown,Student,Student,122.0,Yes,No,No,Yes,Female,No,34,No,8,10,11,10,12.2,0,5,10,12,9,12.333333333333334,0,7.6,2.6,0.32,0
Single,1st_Ph_SC_Madeira_Island,6,Journalism_Communic,daytime,2nd_Edu,136.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,10th_yr_of_Sch,Student,Student,129.7,Yes,No,No,Yes,Female,No,21,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,0
Single,change_of_Crs,2,Social_Serv,daytime,2nd_Edu,110.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",112.5,Yes,No,No,Yes,Female,Yes,53,No,4,7,16,6,11.0,0,2,7,9,7,11.0,0,9.4,-0.8,-3.12,0
Single,1st_Ph_GC,1,Nursing,daytime,2nd_Edu,136.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",136.0,No,No,No,Yes,Female,Yes,19,No,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,0
Single,1st_Ph_GC,3,Journalism_Communic,daytime,2nd_Edu,145.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133.1,No,No,No,Yes,Female,Yes,20,No,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,0
Single,1st_Ph_GC,2,Journalism_Communic,daytime,2nd_Edu,159.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,151.3,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,0
Single,>23y.o,1,Animation_Multimed_Des,daytime,2nd_Edu,147.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Workers in food processing, woodworking, clothing and other industries and crafts",193,133.3,No,No,No,No,Female,No,32,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,1
Single,change_of_Crs,1,Nursing,daytime,2nd_Edu,150.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,130.8,Yes,No,No,Yes,Female,Yes,21,No,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,0
Single,holders_of_other_higher_Crs,1,Social_Serv_eve_AA,evening,degree,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Other_11th_yr_of_Sch,Unskilled Workers,Administrative staff,140.0,No,No,No,No,Female,No,26,No,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,1
Single,transfer,1,Veterinary_Nursing,daytime,Techno_Spc_Crs,150.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",150.0,Yes,No,No,Yes,Female,No,26,No,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,0
Married,tech_Spc_diploma,1,Mgmt_evening_eve_AA,evening,Techno_Spc_Crs,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Administrative staff,Unskilled Workers,130.0,No,No,No,No,Female,No,21,No,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,1
Single,2nd_phase_GC,1,Journalism_Communic,daytime,2nd_Edu,120.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.3,No,No,No,Yes,Female,No,18,No,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,0
Single,change_of_Crs,1,Communic_Des,daytime,Techno_Spc_Crs,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,124.0,Yes,No,No,Yes,Female,Yes,21,No,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,0
Single,2nd_phase_GC,1,Adver_Mktg_Mgmt,daytime,2nd_Edu,128.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.4,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,0
Single,2nd_phase_GC,1,Mgmt,daytime,2nd_Edu,114.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",107.7,No,No,No,Yes,Female,No,19,No,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,1
Single,change_of_Crs,2,Social_Serv,daytime,2nd_Edu,118.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",110.0,No,No,No,Yes,Female,Yes,19,No,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,0
Single,holders_of_other_higher_Crs,1,Nursing,daytime,degree,130.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",130.0,Yes,No,No,Yes,Female,No,27,No,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,0
Single,1st_Ph_GC,2,Nursing,daytime,2nd_Edu,145.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,Administrative staff,138.8,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,0
Single,1st_Ph_GC,2,Mgmt,daytime,2nd_Edu,121.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,126.3,Yes,No,No,Yes,Female,No,20,No,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,1
Single,1st_Ph_GC,3,Nursing,daytime,2nd_Edu,114.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,4,Adver_Mktg_Mgmt,daytime,2nd_Edu,127.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",116.5,Yes,No,No,Yes,Female,No,20,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,1
Single,2nd_phase_GC,2,Social_Serv,daytime,2nd_Edu,145.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.6,Yes,No,No,Yes,Female,Yes,19,No,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,0
Single,1st_Ph_GC,1,Animation_Multimed_Des,daytime,2nd_Edu,150.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,134.6,No,No,No,Yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1
Single,1st_Ph_GC,1,Basic_Edu,daytime,2nd_Edu,145.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",146.8,No,No,No,Yes,Female,No,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,0
Single,1st_Ph_GC,1,Veterinary_Nursing,daytime,2nd_Edu,128.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,135.7,Yes,No,No,Yes,Female,No,20,No,0,5,7,4,12.75,0,0,5,5,5,13.4,0,10.8,1.4,1.74,0
Married,>23y.o,1,Mgmt_evening_eve_AA,evening,2nd_Edu,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,120.0,No,No,No,No,Female,No,38,No,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,1
Divorced,>23y.o,1,Social_Serv_eve_AA,evening,2nd_Edu,130.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",138.0,No,No,No,Yes,Female,No,42,No,0,6,8,5,11.2,0,0,6,6,6,12.0,0,8.9,1.4,3.51,0
Single,>23y.o,1,Nursing,daytime,2nd_Edu,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",135.5,No,No,No,Yes,Female,No,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,1
Single,Intl_student_bachelor,1,Journalism_Communic,daytime,2nd_Edu,120.0,Santomean,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120.0,Yes,No,No,Yes,Female,No,22,Yes,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,0
Married,>23y.o,1,Mgmt_evening_eve_AA,evening,2nd_Edu,147.0,Portuguese,Unknown,Unknown,Other Situation,Other Situation,111.7,Yes,No,No,Yes,Female,No,28,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,1
Married,>23y.o,1,Social_Serv_eve_AA,evening,12th_yr_of_Sch_NC,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,100.0,Yes,No,No,Yes,Female,No,37,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,1
Married,tech_Spc_diploma,1,Agronomy,daytime,Techno_Spc_Crs,160.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Administrative staff,160.0,No,No,No,Yes,Female,No,43,No,0,6,8,6,14.166666666666666,0,0,6,9,6,15.0,0,15.5,2.8,-4.06,0
legally separated,>23y.o,1,Social_Serv_eve_AA,evening,2nd_Edu,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.8,No,No,No,Yes,Female,Yes,41,No,0,6,10,5,12.833333333333334,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,0
Divorced,>23y.o,1,Social_Serv_eve_AA,evening,Basic_Edu_3rd_Cyc_or_Eq,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Intermediate Level Technicians and Professions,131.0,No,No,No,Yes,Female,Yes,29,No,0,6,11,4,11.75,0,0,6,9,5,10.4,0,10.8,1.4,1.74,0
Single,>23y.o,1,Social_Serv_eve_AA,evening,2nd_Edu,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,97.0,No,No,No,Yes,Female,Yes,35,No,0,6,8,6,10.833333333333334,0,0,6,7,6,11.5,0,10.8,1.4,1.74,0
Single,2nd_phase_GC,6,Social_Serv,daytime,2nd_Edu,131.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,131.7,Yes,No,No,Yes,Female,No,18,No,0,6,8,4,11.75,0,0,6,8,4,12.25,0,9.4,-0.8,-3.12,1
Single,>23y.o,1,Nursing,daytime,Basic_Edu_3rd_Cyc_or_Eq,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,No,No,Female,Yes,39,No,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,1
Single,>23y.o,1,Nursing,daytime,2nd_Edu,130.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",133.0,Yes,No,No,Yes,Female,Yes,26,No,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,0
Single,holders_of_other_higher_Crs,1,Veterinary_Nursing,daytime,degree,140.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Complementary_High_Sch_Course,Administrative staff,Other Situation,140.0,Yes,No,No,Yes,Female,No,32,No,0,5,8,1,14.0,2,0,5,12,0,0.0,4,10.8,1.4,1.74,1
Single,1st_Ph_GC,1,Social_Serv,daytime,2nd_Edu,133.1,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Student,Student,137.0,Yes,No,No,Yes,Female,No,19,No,0,6,10,0,0.0,4,0,6,0,0,0.0,0,7.6,2.6,0.32,1
Single,1st_Ph_GC,1,Basic_Edu,daytime,2nd_Edu,115.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,108.0,No,No,No,Yes,Female,Yes,19,No,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,0
Married,holders_of_other_higher_Crs,1,Adver_Mktg_Mgmt,daytime,degree,110.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",110.0,No,No,No,Yes,Female,No,32,No,4,11,15,8,13.6,0,2,8,10,8,15.11111111111111,0,13.9,-0.3,0.79,0
Married,>23y.o,1,Mgmt,daytime,2nd_Edu,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,127.7,Yes,No,No,Yes,Female,No,31,No,0,5,8,3,11.0,0,0,5,9,2,11.5,0,7.6,2.6,0.32,1
Single,1st_Ph_GC,3,Animation_Multimed_Des,daytime,2nd_Edu,145.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,140.1,Yes,No,No,Yes,Female,No,20,No,6,12,12,12,13.25,0,4,11,14,11,14.333333333333334,0,8.9,1.4,3.51,0
Single,>23y.o,1,Nursing,daytime,Basic_Edu_3rd_Cyc_or_Eq,133.1,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,114.8,No,No,No,Yes,Female,No,28,No,0,7,15,1,10.75,0,0,7,10,1,10.0,0,13.9,-0.3,0.79,1
Divorced,>23y.o,1,Social_Serv_eve_AA,evening,Basic_Edu_3rd_Cyc_or_Eq,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Other Situation,"Skilled Workers in Industry, Construction and Craftsmen",110.0,No,No,No,No,Female,No,31,No,0,6,8,5,11.4,0,0,6,9,3,11.0,0,9.4,-0.8,-3.12,1
Single,1st_Ph_GC,3,Journalism_Communic,daytime,2nd_Edu,110.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",105.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,13.0,0,0,6,8,5,12.4,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,1,Social_Serv,daytime,2nd_Edu,128.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Administrative staff,127.3,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,14.0,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,0
Single,holders_of_other_higher_Crs,1,Veterinary_Nursing,daytime,degree,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Armed Forces Professions,130.0,No,No,No,Yes,Female,No,34,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,1
Single,1st_Ph_SC_Madeira_Island,1,Oral_Hygiene,daytime,2nd_Edu,137.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",122.7,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,15.285714285714286,0,0,8,8,8,16.075,0,12.4,0.5,1.79,0
Single,2nd_phase_GC,2,Tourism,daytime,2nd_Edu,123.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",113.9,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,0
Single,1st_Ph_GC,1,Mgmt,daytime,2nd_Edu,156.0,Portuguese,Degree,Basic_Edu_3rd_cyc_or_Eq,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,151.1,No,No,Yes,Yes,Male,No,19,No,0,5,7,5,13.6,0,0,5,11,5,12.833333333333334,5,16.2,0.3,-0.92,0
Single,2nd_phase_GC,2,Journalism_Communic,daytime,2nd_Edu,133.1,Portuguese,Degree,Doctorate,Student,Specialists in Intellectual and Scientific Activities,125.8,Yes,No,No,No,Male,Yes,22,No,0,4,8,0,0.0,0,0,4,8,0,0.0,0,7.6,2.6,0.32,1
Married,change_of_Crs,1,Adver_Mktg_Mgmt,daytime,2nd_Edu,100.0,Portuguese,Unknown,Unknown,Student,Student,128.2,No,No,No,Yes,Male,No,32,No,6,10,12,10,11.4,0,4,9,9,4,11.5,0,7.6,2.6,0.32,0
